 1/18 README.md 30.01ms
 2/18 tools/lint/README.md 8.12ms
 3/18 Tracker/Design/Archive/Core/phases-status.md 2.61ms
 4/18 Tracker/Design/Archive/Core/tasks-status.md 10.25ms
 5/18 Tracker/Design/Archive/DebugHost/phases-status.md 1.27ms
 6/18 Tracker/Design/Archive/DebugHost/tasks-status.md 7.47ms
 7/18 Tracker/Design/Core/tracker-architecture-plan.md 15.60ms
 8/18 Tracker/Design/Core/tracker-core-engine-detail-design.md 5.07ms
 9/18 Tracker/Design/Core/tracker-history-000-038.md 3.72ms
10/18 Tracker/Design/Core/tracker-test-maintainability-detail-design.md 4.13ms
11/18 Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md 13.40ms
12/18 Tracker/Design/DebugHost/debug-host-maintainability-design.md 1.78ms
13/18 Tracker/Design/DebugHost/raw-vision-viewer-plan.md 8.77ms
14/18 Tracker/Design/phases-status.md 1.89ms
15/18 Tracker/Design/RuntimeHost/runtime-host-plan.md 2.89ms
16/18 Tracker/Design/tasks-status.md 6.50ms
17/18 Tracker/Tracker.CaptureReplay/README.md 1.80ms
18/18 Tracker/Tracker.DebugHost/README.md 7.60ms
CSpell: Files checked: 18, Issues found: 0 in 0 files.
