 1/18 README.md 20.20ms
 2/18 tools/lint/README.md 5.93ms
 3/18 Tracker/Design/Archive/Core/phases-status.md 2.92ms
 4/18 Tracker/Design/Archive/Core/tasks-status.md 12.13ms
 5/18 Tracker/Design/Archive/DebugHost/phases-status.md 1.33ms
 6/18 Tracker/Design/Archive/DebugHost/tasks-status.md 5.05ms
 7/18 Tracker/Design/Core/tracker-architecture-plan.md 15.93ms
 8/18 Tracker/Design/Core/tracker-core-engine-detail-design.md 6.05ms
 9/18 Tracker/Design/Core/tracker-history-000-038.md 3.68ms
10/18 Tracker/Design/Core/tracker-test-maintainability-detail-design.md 3.27ms
11/18 Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md 14.39ms
12/18 Tracker/Design/DebugHost/debug-host-maintainability-design.md 2.06ms
13/18 Tracker/Design/DebugHost/raw-vision-viewer-plan.md 6.93ms
14/18 Tracker/Design/phases-status.md 3.35ms
15/18 Tracker/Design/RuntimeHost/runtime-host-plan.md 2.68ms
16/18 Tracker/Design/tasks-status.md 6.57ms
17/18 Tracker/Tracker.CaptureReplay/README.md 1.20ms
18/18 Tracker/Tracker.DebugHost/README.md 7.63ms
CSpell: Files checked: 18, Issues found: 0 in 0 files.
