surface	normalized	reading	partOfSpeech	type	count	sources
確認	確認	カクニン	名詞,普通名詞,サ変可能	japanese	268	Tracker/Design/tasks-status.md:99; Tracker/Design/Archive/Core/tasks-status.md:32; Tracker/Design/Archive/DebugHost/tasks-status.md:31; Tracker/Tracker.DebugHost/README.md:26; Tracker/Design/phases-status.md:19; Tracker/Design/Core/tracker-test-maintainability-detail-design.md:9; tools/lint/README.md:9; Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:7; Tracker/Design/Archive/DebugHost/phases-status.md:5; Tracker/Design/Core/tracker-core-engine-detail-design.md:5; Tracker/Design/Core/tracker-history-000-038.md:5; Tracker/Design/DebugHost/raw-vision-viewer-plan.md:5; Tracker/Design/Core/tracker-architecture-plan.md:4; Tracker/Tracker.CaptureReplay/README.md:4; AGENTS.md:3; Tracker/Design/Archive/Core/phases-status.md:3; Tracker/Design/DebugHost/debug-host-maintainability-design.md:1; Tracker/Design/RuntimeHost/runtime-host-plan.md:1
表示	表示	ヒョウジ	名詞,普通名詞,サ変可能	japanese	232	Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:65; Tracker/Design/DebugHost/raw-vision-viewer-plan.md:38; Tracker/Design/Archive/DebugHost/tasks-status.md:31; Tracker/Design/Core/tracker-architecture-plan.md:31; Tracker/Design/Archive/Core/tasks-status.md:24; Tracker/Tracker.DebugHost/README.md:15; Tracker/Design/Core/tracker-history-000-038.md:13; Tracker/Design/tasks-status.md:5; Tracker/Design/RuntimeHost/runtime-host-plan.md:4; Tracker/Design/DebugHost/debug-host-maintainability-design.md:3; README.md:1; Tracker/Design/Archive/Core/phases-status.md:1; tools/lint/README.md:1
完了	完了	カンリョウ	名詞,普通名詞,サ変可能	japanese	195	Tracker/Design/Archive/Core/tasks-status.md:55; Tracker/Design/Archive/DebugHost/tasks-status.md:51; Tracker/Design/tasks-status.md:30; Tracker/Design/Core/tracker-history-000-038.md:14; Tracker/Design/Core/tracker-architecture-plan.md:13; Tracker/Design/Archive/Core/phases-status.md:9; Tracker/Design/phases-status.md:9; Tracker/Design/Archive/DebugHost/phases-status.md:7; Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:3; Tracker/Design/DebugHost/debug-host-maintainability-design.md:1; Tracker/Design/DebugHost/raw-vision-viewer-plan.md:1; Tracker/Tracker.DebugHost/README.md:1; tools/lint/README.md:1
場合	場合	バアイ	名詞,普通名詞,副詞可能	japanese	190	Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:47; Tracker/Tracker.DebugHost/README.md:42; Tracker/Design/Core/tracker-architecture-plan.md:36; Tracker/Design/DebugHost/raw-vision-viewer-plan.md:22; tools/lint/README.md:9; Tracker/Design/Core/tracker-core-engine-detail-design.md:8; AGENTS.md:5; Tracker/Design/Core/tracker-test-maintainability-detail-design.md:5; README.md:4; Tracker/Design/DebugHost/debug-host-maintainability-design.md:3; Tracker/Design/tasks-status.md:3; Tracker/Tracker.CaptureReplay/README.md:3; Tracker/Design/Core/tracker-history-000-038.md:2; Tracker/Design/RuntimeHost/runtime-host-plan.md:1
設定	設定	セッテイ	名詞,普通名詞,サ変可能	japanese	174	Tracker/Design/Core/tracker-architecture-plan.md:64; Tracker/Tracker.DebugHost/README.md:29; Tracker/Design/tasks-status.md:20; Tracker/Design/Core/tracker-history-000-038.md:13; Tracker/Design/DebugHost/raw-vision-viewer-plan.md:11; Tracker/Design/RuntimeHost/runtime-host-plan.md:10; Tracker/Design/Core/tracker-core-engine-detail-design.md:7; Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:6; Tracker/Design/DebugHost/debug-host-maintainability-design.md:3; README.md:2; Tracker/Design/Core/tracker-test-maintainability-detail-design.md:2; Tracker/Design/phases-status.md:2; tools/lint/README.md:2; Tracker/Design/Archive/Core/tasks-status.md:1; Tracker/Design/Archive/DebugHost/tasks-status.md:1; Tracker/Tracker.CaptureReplay/README.md:1
記録	記録	キロク	名詞,普通名詞,サ変可能	japanese	169	Tracker/Design/tasks-status.md:61; Tracker/Design/Archive/Core/tasks-status.md:37; Tracker/Design/Core/tracker-history-000-038.md:25; Tracker/Design/Archive/DebugHost/tasks-status.md:9; Tracker/Design/Archive/Core/phases-status.md:6; Tracker/Design/Core/tracker-architecture-plan.md:6; Tracker/Design/phases-status.md:6; Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:4; Tracker/Tracker.DebugHost/README.md:3; feedback-points/feedback-points.md:3; Tracker/Design/Archive/DebugHost/phases-status.md:2; Tracker/Design/Core/tracker-test-maintainability-detail-design.md:2; Tracker/Design/DebugHost/debug-host-maintainability-design.md:2; AGENTS.md:1; Tracker/Design/DebugHost/raw-vision-viewer-plan.md:1; tools/lint/README.md:1
追加	追加	ツイカ	名詞,普通名詞,サ変可能	japanese	145	Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:19; Tracker/Design/tasks-status.md:19; Tracker/Design/Core/tracker-history-000-038.md:18; Tracker/Design/Archive/Core/tasks-status.md:17; Tracker/Design/Core/tracker-architecture-plan.md:14; Tracker/Design/Core/tracker-core-engine-detail-design.md:14; Tracker/Design/Core/tracker-test-maintainability-detail-design.md:11; Tracker/Design/Archive/DebugHost/tasks-status.md:9; Tracker/Design/DebugHost/debug-host-maintainability-design.md:9; tools/lint/README.md:5; Tracker/Design/phases-status.md:4; Tracker/Design/RuntimeHost/runtime-host-plan.md:3; Tracker/Design/DebugHost/raw-vision-viewer-plan.md:2; AGENTS.md:1
保存	保存	ホゾン	名詞,普通名詞,サ変可能	japanese	135	Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:42; Tracker/Design/Core/tracker-architecture-plan.md:27; Tracker/Tracker.DebugHost/README.md:18; Tracker/Design/tasks-status.md:12; Tracker/Design/DebugHost/raw-vision-viewer-plan.md:10; Tracker/Design/Archive/DebugHost/tasks-status.md:8; Tracker/Design/Archive/Core/tasks-status.md:6; Tracker/Design/RuntimeHost/runtime-host-plan.md:4; Tracker/Design/Archive/DebugHost/phases-status.md:2; Tracker/Design/phases-status.md:2; Tracker/Tracker.CaptureReplay/README.md:2; README.md:1; Tracker/Design/Archive/Core/phases-status.md:1
実装	実装	ジッソウ	名詞,普通名詞,サ変可能	japanese	133	Tracker/Design/tasks-status.md:29; Tracker/Design/Core/tracker-architecture-plan.md:24; Tracker/Design/Core/tracker-history-000-038.md:19; Tracker/Design/Archive/DebugHost/tasks-status.md:16; Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:15; Tracker/Design/Archive/DebugHost/phases-status.md:5; Tracker/Design/RuntimeHost/runtime-host-plan.md:5; Tracker/Design/Archive/Core/tasks-status.md:4; Tracker/Design/Core/tracker-test-maintainability-detail-design.md:3; Tracker/Design/DebugHost/debug-host-maintainability-design.md:3; Tracker/Tracker.DebugHost/README.md:3; AGENTS.md:2; Tracker/Design/Core/tracker-core-engine-detail-design.md:2; Tracker/Design/Archive/Core/phases-status.md:1; Tracker/Design/DebugHost/raw-vision-viewer-plan.md:1; Tracker/Design/phases-status.md:1
比較	比較	ヒカク	名詞,普通名詞,サ変可能	japanese	130	Tracker/Design/Archive/Core/tasks-status.md:39; Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:36; Tracker/Design/Core/tracker-architecture-plan.md:18; Tracker/Tracker.DebugHost/README.md:16; Tracker/Design/DebugHost/raw-vision-viewer-plan.md:8; Tracker/Design/Archive/Core/phases-status.md:3; Tracker/Design/Core/tracker-history-000-038.md:3; Tracker/Design/DebugHost/debug-host-maintainability-design.md:2; Tracker/Design/tasks-status.md:2; Tracker/Design/RuntimeHost/runtime-host-plan.md:1; Tracker/Design/phases-status.md:1; tools/lint/README.md:1
