groupKey	totalCount	observedTerms	suggestedSynonyms	sources
synonym:ログ	273	記録(169,japanese); log(68,english); ログ(36,katakana)		Tracker/Design/tasks-status.md:61; Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:49; Tracker/Design/Archive/Core/tasks-status.md:37; Tracker/Design/Core/tracker-history-000-038.md:32; Tracker/Tracker.DebugHost/README.md:29; Tracker/Design/Core/tracker-architecture-plan.md:23; Tracker/Design/Archive/DebugHost/tasks-status.md:9; Tracker/Design/DebugHost/debug-host-maintainability-design.md:8
synonym:ソース	263	source(260,english); ソースコード(3,katakana)	source program | sourcecode | ソース | ソースプログラム | 原始プログラム	Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:146; Tracker/Design/DebugHost/raw-vision-viewer-plan.md:44; Tracker/Tracker.DebugHost/README.md:30; Tracker/Design/Core/tracker-architecture-plan.md:29; Tracker/Design/Core/tracker-core-engine-detail-design.md:6; Tracker/Design/RuntimeHost/runtime-host-plan.md:4; Tracker/Design/tasks-status.md:3; Tracker/Design/DebugHost/debug-host-maintainability-design.md:1
synonym:フィールド	235	field(214,english); 領域(21,japanese)	フィールド	Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:92; Tracker/Design/DebugHost/raw-vision-viewer-plan.md:61; Tracker/Design/Core/tracker-architecture-plan.md:28; Tracker/Tracker.DebugHost/README.md:21; Tracker/Design/Core/tracker-history-000-038.md:10; Tracker/Design/Core/tracker-core-engine-detail-design.md:5; AGENTS.md:5; Tracker/Design/Core/tracker-test-maintainability-detail-design.md:3
synonym:フィニッシュ	197	完了(195,japanese); 完結(1,japanese); 終了(1,japanese)	finish | フィニッシュ	Tracker/Design/Archive/Core/tasks-status.md:55; Tracker/Design/Archive/DebugHost/tasks-status.md:51; Tracker/Design/tasks-status.md:31; Tracker/Design/Core/tracker-history-000-038.md:14; Tracker/Design/Core/tracker-architecture-plan.md:13; Tracker/Design/Archive/Core/phases-status.md:9; Tracker/Design/phases-status.md:9; Tracker/Design/Archive/DebugHost/phases-status.md:7
synonym:セッティング	175	設定(174,japanese); setting(1,english)	セッティング	Tracker/Design/Core/tracker-architecture-plan.md:64; Tracker/Tracker.DebugHost/README.md:29; Tracker/Design/tasks-status.md:20; Tracker/Design/Core/tracker-history-000-038.md:13; Tracker/Design/DebugHost/raw-vision-viewer-plan.md:11; Tracker/Design/RuntimeHost/runtime-host-plan.md:10; Tracker/Design/Core/tracker-core-engine-detail-design.md:7; Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:6
synonym:エグザミネーション	171	test(82,english); 試験(37,japanese); 検査(31,japanese); テスト(21,katakana)	examination | エグザミネーション | 考査 | 考試	Tracker/Design/Core/tracker-test-maintainability-detail-design.md:44; Tracker/Design/tasks-status.md:31; Tracker/Design/Core/tracker-history-000-038.md:27; Tracker/Design/Archive/DebugHost/tasks-status.md:14; Tracker/Design/Core/tracker-architecture-plan.md:12; tools/lint/README.md:11; Tracker/Design/phases-status.md:9; Tracker/Design/Core/tracker-core-engine-detail-design.md:6
synonym:セーブ	138	保存(135,japanese); 保管(3,japanese)	save | セーブ	Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:42; Tracker/Design/Core/tracker-architecture-plan.md:27; Tracker/Tracker.DebugHost/README.md:18; Tracker/Design/tasks-status.md:14; Tracker/Design/DebugHost/raw-vision-viewer-plan.md:10; Tracker/Design/Archive/DebugHost/tasks-status.md:9; Tracker/Design/Archive/Core/tasks-status.md:6; Tracker/Design/RuntimeHost/runtime-host-plan.md:4
synonym:ロボ	109	robot(108,english); ロボット(1,katakana)	ロボ	Tracker/Design/Core/tracker-architecture-plan.md:43; Tracker/Design/Core/tracker-core-engine-detail-design.md:20; Tracker/Design/Core/tracker-history-000-038.md:17; Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:11; Tracker/Tracker.DebugHost/README.md:10; Tracker/Design/Core/tracker-test-maintainability-detail-design.md:3; Tracker/Design/DebugHost/raw-vision-viewer-plan.md:3; Tracker/Design/DebugHost/debug-host-maintainability-design.md:1
synonym:アライメント	106	alignment(104,english); 整列(2,japanese)	アライメント	Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:73; Tracker/Design/Core/tracker-architecture-plan.md:22; Tracker/Tracker.DebugHost/README.md:8; Tracker/Design/DebugHost/raw-vision-viewer-plan.md:3
synonym:チョイス	104	選択(94,japanese); choice(10,english)	チョイス	Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:56; Tracker/Tracker.DebugHost/README.md:15; Tracker/Design/Core/tracker-architecture-plan.md:14; Tracker/Design/Archive/Core/tasks-status.md:7; Tracker/Design/DebugHost/raw-vision-viewer-plan.md:4; Tracker/Design/Archive/DebugHost/tasks-status.md:2; Tracker/Design/DebugHost/debug-host-maintainability-design.md:2; Tracker/Design/RuntimeHost/runtime-host-plan.md:2
synonym:アウトプット	103	出力(84,japanese); output(18,english); 成果物(1,japanese)	deliverable | アウトプット | デリバラブル | 作業結果	Tracker/Design/Core/tracker-architecture-plan.md:25; Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:18; Tracker/Tracker.DebugHost/README.md:14; Tracker/Design/Core/tracker-core-engine-detail-design.md:8; Tracker/Design/Core/tracker-history-000-038.md:8; Tracker/Design/tasks-status.md:7; Tracker/Tracker.CaptureReplay/README.md:5; tools/lint/README.md:4
synonym:実施	102	実行(100,japanese); 実施(2,japanese)	施行	Tracker/Design/tasks-status.md:43; Tracker/Design/RuntimeHost/runtime-host-plan.md:8; tools/lint/README.md:6; Tracker/Design/Archive/DebugHost/tasks-status.md:5; Tracker/Design/Core/tracker-architecture-plan.md:5; Tracker/Design/Core/tracker-core-engine-detail-design.md:5; Tracker/Design/Core/tracker-test-maintainability-detail-design.md:5; Tracker/Design/phases-status.md:5
synonym:アップデート	100	更新(88,japanese); update(12,english)	アップデート	Tracker/Design/Core/tracker-architecture-plan.md:33; Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:10; Tracker/Design/Core/tracker-core-engine-detail-design.md:9; Tracker/Design/tasks-status.md:9; Tracker/Design/DebugHost/raw-vision-viewer-plan.md:7; Tracker/Design/RuntimeHost/runtime-host-plan.md:7; Tracker/Design/Archive/Core/tasks-status.md:6; Tracker/Tracker.DebugHost/README.md:4
synonym:コンディション	98	状態(97,japanese); condition(1,english)	コンディション | 調子	Tracker/Design/Core/tracker-architecture-plan.md:29; Tracker/Design/DebugHost/debug-host-cli-ui-detail-design.md:11; Tracker/Design/tasks-status.md:10; Tracker/Design/DebugHost/raw-vision-viewer-plan.md:9; Tracker/Design/Archive/DebugHost/tasks-status.md:6; Tracker/Tracker.DebugHost/README.md:6; Tracker/Design/Archive/Core/tasks-status.md:5; Tracker/Design/Core/tracker-core-engine-detail-design.md:4
