英語の説明文：a〜m
調査基準: 697fd5d2986d4c7bb774c096bdc35aa383083978（ローカル作業一覧草案を含む）
C=cspell全件診断、W=長文分割した許可一覧の補助診断。重複する検出を含む。
各行は同じ語・対応方針の全検出をまとめる。箇所は代表1件で、README.mdのF番号を参照。
未適用の提案。許可候補を自動で登録したものではない。

語	C件数	W件数	対応案	代表箇所
active	10	10	有効な／適用中の	F02:66
address	11	11	アドレス	F18:77
agent	3	3	エージェント	F17:3
aggregate	2	2	集約した表示元／集約表示	F18:8
aligned	2	2	対応付けた	F18:94
alignment	5	5	記録同士の対応付け	F18:87
analysis	3	3	分析	F17:3
analyze	2	2	分析する	F02:9
AND	0	1	すべて満たす条件	F18:215
angular	3	3	角度／角速度の	F09:49
approved	1	1	承認済み	F09:12
appsettings	2	3	通常は設定ファイル。具体的な実ファイル名を指す場合だけ原表記を保持する	F02:66
arcs	1	1	円弧	F09:41
area	1	1	領域／検出面積	F09:41
arrival	1	1	到着	F18:370
assertion	1	1	期待する条件の検証	F17:75
automation	1	1	自動検証	F17:75
axis	1	1	座標軸	F09:49
ball	21	22	ボール	F09:20
balls	2	2	ボール群／ボール数	F18:94
base	1	1	基本設定（Base64の断片なら技術表記として別扱い）	F18:341
basename	2	2	ファイル名の共通部分	F18:85
best/best-effort/effort	4	2	正確な対応を保証しない推定	F18:87
bind	1	1	ソケットをアドレスとポートへ割り当てる	F18:268
binding	1	1	設定値とプロパティの関連付け／通信データの生成型	F02:13
blocker	1	1	進行を妨げる問題	F09:35
blue	1	1	青色チーム	F18:67
bounded	1	1	出力量／探索量に上限を設けた	F17:69
buffer	3	3	バッファ	F09:17
build	1	4	ビルド	F18:488
build/test	4	0	ビルドとテスト。並列に挙げられた対象を落とさない。	F09:29
build/review/test	3	0	ビルド・テスト・レビュー。並列に挙げられた対象を落とさない。	F09:60
button	1	1	ボタン	F18:93
buttons	1	1	ボタン	F18:243
bytes	1	1	バイト列	F18:126
cache	1	1	キャッシュ	F02:29
cadence	4	4	更新周期	F17:25
camera	10	10	カメラ	F09:42
camera/camera-local/local	2	2	カメラごとの	F09:57
capabilities	2	2	対応機能	F09:13
capture	37	37	受信記録／記録する	F02:9
capture/capture-time/time	4	2	収録時の受信時刻（撮影時刻と混同しない）	F18:93
center	1	1	中央	F09:41
check	1	1	確認	F18:204
checkbox	1	1	チェックボックス	F18:244
checked/checked-in	1	1	リポジトリに保存済みの	F02:67
chip	2	2	チップキック	F18:412
clamp	2	2	上下限の範囲に制限する	F09:49
class	3	3	クラス	F09:44
clear	2	2	状態を消去する	F09:18
code	1	1	ソースコード	F18:234
commit	12	12	追跡フレームは確定、Git履歴はコミットと書き分ける	F17:25
committed	3	3	確定済み	F17:56
compact	1	1	小さくまとめた	F18:93
comparison	5	5	比較	F17:67
component	1	1	コンポーネント	F02:13
configured	2	2	定義した／設定された	F18:75
console	1	1	コンソール	F18:325
contact	5	6	接触	F09:21
context	1	1	作業状況／適用中の設定が何かを具体化	F18:78
contract	3	4	契約／維持する条件	F09:12
contracts	6	6	契約検証	F09:12
control	1	1	操作部／制御	F18:93
controls	1	1	操作部	F18:93
Core	3	3	特定プロジェクトならTracker.Coreをコード表記、一般説明なら中核	F09:43
cost	1	1	負荷／所要時間	F18:145
count	2	2	件数	F18:94
covariance	3	3	共分散	F09:49
current	1	1	現在の	F18:488
data	3	3	データ	F02:8
datagram	1	1	データグラム	F18:126
decayed	1	1	減衰した	F09:36
decode	3	4	デコード	F18:126
default	1	1	既定	F18:82
defense	1	1	ディフェンスエリア	F09:41
delta	3	3	差／時刻差	F18:93
detail	6	6	詳細	F09:49
detection	9	9	検出情報	F09:37
diagnostics	10	10	診断	F09:27
directory	3	3	フォルダ／ディレクトリ	F18:143
documentation	2	2	文書	F09:32
domain	1	1	追跡処理の対象領域	F09:15
done	49	49	完了（当時の状態を維持）	F09:11
dot	0	2	ファイル名の区切り文字「.」。描画する点とは区別する	F09:48
endpoint	17	17	送信元または受信先のアドレスとポート	F02:51
engine	28	28	エンジン	F09:14
entry	3	3	記録1件／設定項目	F18:135
environment	1	1	実行環境	F18:488
error	7	7	エラー	F09:37
event	4	8	出来事の通知／観測時刻の意味を文脈で分ける	F09:14
evidence	4	4	検証記録	F18:236
external	1	1	外部トラッカー（実際の表示名はコード表記）	F18:291
failing	2	3	失敗する	F09:13
failing/passing	2	0	失敗する検証と成功する検証。並列に挙げられた対象を落とさない。	F09:56
fast	3	3	高速な／早送り	F18:93
fastest	1	1	最も更新が速い	F18:135
Field/field	18	19	競技フィールド／フィールド表示	F09:26
file	12	12	ファイル	F09:46
files	1	1	ファイル	F09:31
filter	9	9	状態推定はフィルター、表示の選別は絞り込み	F09:19
final	3	3	最終	F09:47
finding	2	2	指摘	F09:49
findings	3	3	指摘	F09:49
fixture	1	1	テストの共通準備／テスト用オブジェクト	F09:12
floor	1	1	下限	F18:93
flush	4	4	入力の確定処理と保存バッファの書き出しを区別	F09:17
focused	2	3	対象を絞った	F09:49
focused/full	2	0	対象を絞った検証と全体検証。並列に挙げられた対象を落とさない。	F09:35
folder	2	2	フォルダ	F17:7
frame	24	24	フレーム	F09:36
frame/frame-level/level	2	1	フレームごとの	F17:69
fresh	1	1	新しい／更新直後の	F09:39
full	2	3	全体	F09:49
generator	3	3	生成処理	F09:13
genuine	1	1	継続観測された実在するボール。通信方式の意味にはしない	F09:38
geometry	8	8	競技場形状	F09:14
ghost	2	2	一時的な誤検出	F09:38
goal	1	1	ゴール	F09:41
group	4	4	グループ	F18:118
handover	1	1	引き継ぎ	F02:14
held	3	3	保持している	F18:94
ibis	12	12	自前トラッカー（表示名ibis trackerはそのままコード表記）	F17:25
icon	1	1	アイコン	F18:93
index	4	4	索引／時系列の位置番号	F18:92
individual	1	1	個々の	F18:353
integration	6	6	統合	F09:23
interface	3	3	インターフェース	F18:77
investigation	3	3	調査	F09:37
join	6	6	マルチキャストグループへの参加	F18:118
kick	7	8	キック	F09:21
contact/field/kick	3	0	キック・接触・場外退出。並列に挙げられた対象を落とさない。	F09:27
label	2	2	表示名	F18:94
lag	0	6	受信記録上の確定までの遅れ	F17:25
late	2	2	遅れて到着した	F09:14
latency	5	5	遅延	F17:3
latest	3	3	最新の	F18:93
before/latest/latest-before	2	1	基準時点以前の最新記録	F18:243
launch	4	4	起動時の	F02:51
layer	1	1	表示層	F18:244
legend	1	1	凡例	F18:244
length	1	1	長さ	F18:372
lightweight	1	1	軽量な	F18:92
line	3	3	ログ行／競技場の線分	F18:94
live	4	4	現在受信している内容の表示	F18:134
local	3	3	ローカル／手元の	F18:120
log	0	7	ログ	F18:86
lookup	1	1	索引からの参照	F18:135
maintenance	6	6	保守	F09:43
manager	1	1	状態の管理処理	F09:64
manual	1	1	手動	F18:236
matching	1	1	対応付け	F18:94
md	0	1	リンク先の実ファイル名は保持しリンクの表示名を日本語化	F02:56
Medium	2	2	中程度（過去レビューの重大度は変えない）	F09:49
merge	7	7	カメラ統合とPRのマージを区別	F09:19
metadata	20	20	設定や関連ファイルなど、実際に含む付随情報を示す	F09:21
method	3	3	メソッド	F09:44
metric	4	4	集計指標	F17:57
metrics	1	1	集計指標	F17:84
modal	1	1	設定ダイアログ	F18:243
mode	1	1	モード	F18:246
model	3	3	モデル	F18:386
motion	1	1	運動	F18:403
multicast	15	16	マルチキャスト	F18:18
multicast/unicast	2	0	マルチキャストとユニキャスト。並列に挙げられた対象を落とさない。	F18:11
multiplier	1	1	早送り倍率	F18:93
