英語の説明文：n〜z
調査基準: 697fd5d2986d4c7bb774c096bdc35aa383083978（ローカル作業一覧草案を含む）
C=cspell全件診断、W=長文分割した許可一覧の補助診断。重複する検出を含む。
各行は同じ語・対応方針の全検出をまとめる。箇所は代表1件で、README.mdのF番号を参照。
未適用の提案。許可候補を自動で登録したものではない。

語	C件数	W件数	対応案	代表箇所
nearest	1	1	時刻が最も近い	F18:91
network	0	2	ネットワーク	F09:24
no	0	3	なし／行わない	F09:49
noise	1	1	ノイズ（設定名は原表記のまま）	F18:392
normal	1	1	通常の	F18:219
normalization	1	1	正規化	F18:93
number	1	1	番号	F18:56
object	8	8	オブジェクト	F09:26
observation	1	1	観測	F09:39
observer	2	7	通知を受け取る処理	F09:15
event/observer/observer-event	2	1	通知先と通知する出来事	F09:15
event/observer	6	0	通知先と通知する出来事。並列に挙げられた対象を落とさない。	F09:18
observer	1	0	通知先と画面。並列に挙げられた対象を落とさない。	F09:25
official	1	2	公式形式の	F18:18
option	2	2	オプション	F17:46
optional	1	1	省略可能／任意	F18:284
orientation	6	6	向き	F09:49
outlier	3	3	外れ値	F09:42
override	8	8	設定の上書き	F17:35
own	0	3	自前トラッカー	F18:94
packet	41	41	パケット	F02:3
panel	7	7	表示領域	F18:90
parameter	2	2	パラメーター	F09:63
parse	1	1	解析	F18:92
passed	2	2	成功した（当時の検証結果を維持）	F09:49
passing	0	1	成功する	F09:56
path	7	7	ファイルパス／実行経路	F18:104
payload	4	4	パケットの元データ	F18:94
pending	2	2	適用待ち／未処理	F09:18
phase	0	2	段階	F09:11
pipeline	2	2	一連の処理	F09:17
Play	7	7	操作の説明は再生、実際のPlay表示名はコード表記	F18:93
Playback/playback	2	3	再生	F18:93
playback/scrub	2	0	再生と再生位置の移動。並列に挙げられた対象を落とさない。	F18:135
port	8	8	ポート	F18:77
prediction	1	1	予測	F18:375
prefix	1	1	接頭辞	F18:144
preparation	2	2	準備	F09:11
preset	1	1	定型値の選択	F18:93
primary	1	4	主対象のボール	F18:66
primary	3	0	主対象・補助対象のボール。並列に挙げられた対象を落とさない。	F09:13
processed	1	1	処理完了	F18:64
profile	63	63	設定組	F02:51
aware/profile/profile-aware	4	2	選択した設定組に対応する	F09:33
local/project/project-local	2	1	リポジトリ内の	F02:29
property	3	3	プロパティ	F09:44
protocol	1	1	通信形式	F02:13
publish	15	15	ネットワークは送信、イベントは通知と書き分ける	F02:3
publisher	2	2	送信処理	F09:24
quality	0	1	品質値	F09:19
raw	0	30	未加工の入力	F02:3
tracked	4	0	未加工入力と追跡結果。並列に挙げられた対象を落とさない。	F09:26
receive	1	1	受信	F18:268
receiver	18	18	受信処理	F18:77
record	6	6	記録	F17:71
records	2	2	記録	F18:135
regression	3	3	回帰検証	F17:3
relative	3	3	相対	F18:183
release	1	1	公開／リリース	F09:35
remote	3	3	送信元／遠隔側	F18:94
render	4	4	描画	F18:94
reorder	2	2	並べ替え	F09:14
replay	23	23	保存記録の再生	F02:9
report	5	5	報告書	F09:35
reports	4	4	報告書	F09:29
repository	3	3	リポジトリ	F02:23
reset	7	7	状態のリセット	F09:14
resolved	9	9	適用値を解決済みの	F09:49
review	25	26	レビュー（過去の判定を保持）	F09:31
robot	25	26	ロボット	F09:19
ball/robot/robot-ball	2	1	ロボットとボールの	F18:418
ball/robot	2	0	ロボットとボール。並列に挙げられた対象を落とさない。	F09:57
robots	3	3	ロボット群／ロボット数	F18:67
root	2	2	リポジトリのルート	F02:23
route	1	1	通信経路／処理経路	F18:291
rule	1	1	規則	F18:94
runtime	4	4	実行時	F09:33
sample	1	1	定期採取の記録	F18:136
sandbox	1	1	隔離環境	F02:29
scale	3	3	係数／倍率	F09:49
schema	1	1	保存形式の項目構成	F18:135
scrub	1	2	再生位置をドラッグして変更する	F18:92
scrubber	2	2	再生位置の操作部	F18:243
selected	3	3	選択中の	F18:246
Server/server	5	7	サーバー	F02:10
Server	1	0	サーバー・CLI・画面。並列に挙げられた対象を落とさない。	F09:43
session	4	4	1回の記録単位	F17:3
relative/session/session-relative	2	1	記録開始からの相対時間	F18:135
setting	1	1	設定	F17:35
settings	12	12	設定	F17:7
shortcut	1	1	定型値を選ぶ補助ボタン	F18:93
sidecar	19	22	主記録に付随する補助ファイル	F17:67
skipped	2	2	処理を省略した	F18:94
snapshot	9	10	スナップショット	F09:23
socket	1	2	ソケット	F18:289
solution	1	1	ソリューション	F18:488
sort	2	2	並べ替え	F09:20
source	7	7	表示元／入力元／ソースコードを文脈で区別	F18:56
stable	2	2	順序や結果が安定した	F09:20
stale	5	5	更新が途絶えた／古い状態	F09:36
state	4	4	状態	F09:15
stationary	2	2	静止した	F09:40
status	6	6	状態	F18:94
Stop	2	2	説明は停止、実際のStop表示名はコード表記	F18:93
store	1	2	状態の保存先	F09:58
structured	1	1	構造化した	F18:325
agent/sub-agent	2	2	サブエージェント	F09:31
summary	8	8	概要／集計結果、XMLのsummary要素はコード表記	F17:3
switch	2	6	切り替え	F09:33
tabs	1	1	タブ	F18:243
task	1	3	作業	F09:61
phase/task	4	0	作業・段階。並列に挙げられた対象を落とさない。	F09:11
test	18	22	テスト	F09:12
tests	1	1	テスト	F09:46
tick	9	9	更新時点／再生時点	F18:83
ticks	1	1	時点群	F18:243
time	4	4	参照する時計を明示した時刻	F18:94
timeline	4	4	再生時系列	F18:84
timer	1	1	タイマー	F18:93
stamp/timestamp	10	10	受信時刻／フレーム時刻等を明示	F09:13
toggle	1	1	切り替え	F09:26
tool	4	4	ツール	F02:9
level/top-level	1	1	最上位の	F18:263
track	9	9	追跡状態	F09:36
Tracked/tracked	26	33	追跡結果／追跡済み	F02:3
Tracker/tracker	71	74	トラッカー／該当プロジェクトの正式名	F02:3
network/tracker	4	0	追跡処理とネットワーク。並列に挙げられた対象を落とさない。	F09:24
tracking	9	10	追跡処理／作業履歴の進捗管理を区別	F09:5
tuning	10	10	調整値	F09:40
uncertainty/uncertainty-weighted/weighted	2	1	不確かさに応じて重み付けした	F09:20
unicast	1	2	ユニキャスト	F18:361
unified	2	2	統合した	F18:92
unit	1	2	単体	F18:195
contract/unit	2	0	単体テストと契約テスト。並列に挙げられた対象を落とさない。	F09:29
unsupported	2	2	非対応	F18:87
velocity	3	3	速度	F09:49
verification	6	6	検証	F09:29
version	1	1	版	F18:135
view	5	5	表示	F09:41
viewer	8	9	表示画面	F09:26
server/viewer	2	0	表示画面とサーバー。並列に挙げられた対象を落とさない。	F02:8
visibility	4	5	可視性／表示・非表示を文脈で区別	F09:36
quality/visibility	2	0	可視性と品質値。並列に挙げられた対象を落とさない。	F09:19
Vision	5	5	映像入力／実際の画面名	F09:41
warning	1	1	警告	F09:37
width	1	1	幅	F18:373
window	2	2	対象とする時間幅	F17:71
worker	1	1	作業担当	F09:43
writer	2	2	書き込み処理	F18:255
yellow	1	1	黄色チーム	F18:67
