一般漢字語：本文維持の対象一覧
調査基準: 697fd5d2986d4c7bb774c096bdc35aa383083978（ローカル作業一覧草案を含む）
C=cspell全件診断、W=長文分割した許可一覧の補助診断。重複する検出を含む。
各行は同じ語・対応方針の全検出をまとめる。箇所は代表1件で、README.mdのF番号を参照。
未適用の提案。許可候補を自動で登録したものではない。

共通対応J01：本文を維持する。一般漢字語まで個別に許可を要求する契約の見直しを提案する。未適用。
語	W件数	代表箇所
その後	2	F07:649
一切	2	F13:248
一定	5	F07:691
一度	3	F07:154
一式	8	F01:25
一意	3	F07:152
一括	1	F16:24
一時	7	F01:30
一時保存	4	F01:30
一時的	5	F18:284
一致	13	F07:26
一般	6	F13:328
一覧	62	F03:11
一貫性	1	F09:48
一連	1	F07:526
一部	3	F03:23
上下	3	F11:156
上昇	1	F07:957
上書き	40	F04:32
上端	1	F13:278
上記	6	F07:375
上部	2	F07:1060
上限	20	F07:432
下書き	20	F04:49
下部	2	F11:191
下限	7	F11:158
不具合	4	F04:48
不利	1	F11:169
不十分	2	F07:131
不可	3	F11:209
不変	4	F08:269
不安定	1	F01:40
不採用	3	F13:216
不明	5	F11:90
不明確	1	F11:203
不正	4	F12:73
不能	13	F07:282
不足	6	F01:16
不連続	1	F07:824
両方	12	F07:189
両者	1	F11:266
並び	1	F07:1026
並び順	5	F07:148
並べ替え	13	F07:576
並列	1	F01:40
並進	1	F07:235
中央	2	F13:107
中心	6	F02:3
中核	3	F07:474
中継	1	F07:1038
中身	1	F10:159
中間	8	F07:150
丸め	1	F11:247
予測	22	F07:249
事前	3	F09:11
事項	3	F03:23
互換	25	F02:19
互換性	5	F07:127
今回	6	F01:15
今後	2	F10:22
仕様	12	F07:119
仕組み	11	F07:1038
付け	87	F04:67
付与	4	F07:144
付加	1	F13:227
付帯	2	F04:52
付近	5	F09:39
付随	60	F07:124
代わり	3	F13:122
代替	2	F06:49
代用	20	F07:148
代表	15	F07:141
代表値	1	F21:1(aggregate source)
代表的	1	F11:160
以上	13	F07:290
以下	14	F01:24
以内	1	F07:434
以前	21	F07:146
以外	7	F07:865
以後	4	F07:321
以降	11	F07:576
仮想的	2	F11:197
件数	12	F07:127
任意	27	F07:150
位置	109	F04:33
位置づけ	1	F12:37
低下	2	F07:830
低速	6	F04:33
体系	1	F11:262
余地	1	F07:1038
余白	4	F07:641
作成	36	F01:13
作業	65	F01:1
作業中	1	F01:15
作業場所	1	F19:13
併用	1	F08:326
併記	1	F11:90
使い分け	2	F09:48
使い方	6	F01:27
使用	3	F11:132
例外	2	F07:1101
供給	2	F07:1055
依存	52	F04:16
依頼	2	F14:76
係数	14	F07:906
保存	220	F02:9
保存先	18	F07:348
保守	3	F07:119
保守性	16	F08:7
保持	87	F07:11
保留	7	F03:23
保管	3	F06:16
保管場所	2	F15:19
保証	8	F07:146
保護	4	F07:1170
信用	3	F18:376
信頼度	5	F07:821
修正	49	F04:37
個々	2	F07:719
個別	4	F07:608
個数	3	F11:262
倍率	44	F04:40
倍速	13	F04:39
候補	71	F06:41
停止	31	F06:59
側面	3	F06:55
傍受	7	F07:123
優先	50	F04:63
優先度	2	F07:850
優先順位	2	F07:40
先行	13	F07:1162
先頭	16	F07:20
入口	1	F08:311
入れ子	4	F08:276
入れ替え	1	F11:152
入出力	3	F07:400
入力	172	F07:17
全件	4	F07:364
全体	65	F03:5
全般	5	F15:25
公式	63	F07:10
公開	28	F07:715
公開中	8	F15:7
共分散	8	F07:759
共存	1	F07:323
共有	13	F07:1151
共通	24	F06:35
具体的	3	F07:1095
具象	2	F10:78
典型的	1	F18:426
内側	4	F01:25
内包	6	F07:74
内外	1	F07:257
内容	44	F01:7
内部	40	F06:16
円弧	4	F07:88
再作成	1	F10:36
再利用	17	F01:40
再度	3	F07:156
再検証	1	F11:291
再構成	3	F11:30
再現	7	F07:499
再生	249	F03:17
再発	1	F09:39
再発防止	1	F04:48
再表示	1	F18:78
再評価	1	F18:219
再読み込み	2	F11:193
再読込	9	F07:604
再調整	1	F04:71
再開	2	F15:10
写像	3	F13:103
凡例	16	F11:229
処理	278	F01:40
処理中	12	F07:324
処理単位	1	F01:40
処理系	3	F16:238
