自然なカタカナの許可候補：140語
調査基準: 697fd5d2986d4c7bb774c096bdc35aa383083978（ローカル作業一覧草案を含む）
C=cspell全件診断、W=長文分割した許可一覧の補助診断。重複する検出を含む。
各行は同じ語・対応方針の全検出をまとめる。箇所は代表1件で、README.mdのF番号を参照。
未適用の提案。許可候補を自動で登録したものではない。

語	C件数	W件数	対応案	代表箇所
アイコン	0	4	操作や状態を表す小さな図	F11:144
アクセス	0	2	画面やAPIなどを利用すること	F08:111
アセンブリ	0	1	.NETの型や処理をまとめた配布単位	F08:111
アドレス	0	33	通信相手やネットワークインターフェースを指定する値	F07:117
アプリケーション	0	1	起動して利用するプログラム	F12:76
アルゴリズム	0	8	結果を求めるための計算手順	F07:35
イベント	0	16	処理中に起きた出来事の通知	F08:38
インスタンス	0	1	クラスなどから生成された個々の実体	F13:12
インストール	0	1	実行に必要な依存物を導入する操作	F20:16
インターフェース	0	9	型の契約またはネットワーク接続の口。対象を併記	F07:1028
エラー	0	16	処理失敗を示す状態や情報	F07:142
エラーメッセージ	0	2	処理失敗を説明する表示文	F12:73
エンジン	0	36	入力から追跡結果を生成する処理本体	F07:5
エージェント	0	3	割り当てられた調査や検証を行う作業主体	F07:578
オブジェクト	0	7	型から作られた値や状態の実体	F07:1055
オプション	0	4	命令の引数や動作選択項目	F07:576
オーバーロード	0	1	同じメソッド名で引数の異なる定義	F10:93
カウンタ/カウンター	0	4	受信数や送信数などの計数値	F07:305
カメラ	0	86	SSL-Visionの検出情報を得る撮影元	F07:76
カーソル	0	9	画面上でマウスが指す位置	F11:272
キック	0	62	ロボットがボールを蹴る動作	F07:12
キャッシュ	0	11	再読込や再計算を省くため保持する結果	F10:158
クエリ	0	2	URLなどに添える問い合わせ条件	F11:193
クライアント	0	1	提供された機能へ接続して利用する側	F02:12
クラス	0	33	状態と処理をまとめる型	F07:66
クリック	0	1	画面上の操作対象を選ぶマウス操作	F12:92
グラデーション	0	1	段階的に変化する画面の色	F13:295
グループ	0	14	同じ基準でまとめて扱う対象群	F07:314
ケース	0	2	検証する条件や場合	F07:144
コスト	0	4	処理に必要な時間や資源量	F11:55
コピー	0	1	元の内容と同じ内容を複製する操作	F18:256
コマンド	0	1	端末などから実行する命令	F08:410
コマンドライン	0	1	文字による命令入力	F14:114
コミット	0	3	Gitに記録する変更単位。フレーム確定とは区別	F11:327
コメント	0	59	コードの意図や契約を説明する記述	F08:5
コンストラクター	0	5	オブジェクトの生成時に呼ぶ初期化処理	F08:138
コンパイルエラー	0	1	ソースコードを実行可能な形へ変換できない問題	F08:428
コンポーネント	0	22	Blazor等で責務を分けた構成部品	F11:242
コード	0	14	ソースコードの略記	F08:318
ゴール	0	9	競技場の得点枠	F07:465
ゴールライン	0	3	ゴール側の競技場境界線	F07:980
サイズ	0	4	表示領域やデータの大きさ	F11:132
サイドバー	0	3	主表示の側面に置く操作領域	F13:145
サッカー	0	1	対象競技の名称	F21:1(SSL)
サンプル	0	1	例示用の入力や利用例。診断採取記録とは区別	F02:12
サーバー	0	6	画面やAPIを提供する実行側	F10:7
サービス	0	4	実行基盤に登録して動作させる処理	F07:486
シアン	0	1	重ね表示の層を区別する色名	F11:268
スクロール	0	4	画面の表示位置を移動する操作	F07:584
スタイル	0	1	画面部品の見た目の指定	F11:272
スレッド	0	1	プログラムの実行単位	F13:60
ソケット	0	7	UDP等の通信に使う送受信の口	F07:144
ソースファイル	0	3	ソースコードを保存したファイル	F08:111
タイトル	0	2	画面や文書の表題	F13:278
タイマー	0	5	一定時間後や一定周期で処理を呼び出す仕組み	F11:158
タイミング	0	1	処理を実行する時点	F07:124
タスク	0	13	追跡対象の作業単位	F07:1124
タッチライン	0	1	競技場の側方境界線	F07:979
タブ	0	11	表示対象や再生速度を選ぶ画面部品	F07:150
ダイアログ	0	2	設定などのため一時表示する操作画面	F11:295
チェックボックス	0	1	項目の有効無効を選ぶ画面部品	F11:270
チーム	0	22	ロボットが属する対戦側	F07:141
ツール	0	2	開発や検証に使う道具	F08:115
テスト	0	88	期待する動作を確かめる検証	F02:10
テストデータ	0	5	検証に用いる入力値や記録	F07:1151
テンプレート	0	1	文書やコード作成時のひな形	F13:295
ディレクトリ	0	1	ファイルをまとめる保存領域	F10:176
デコード	0	12	通信形式のバイト列から内容を復元する処理	F07:131
デスクトップ	0	1	主にPC画面での表示環境	F13:281
デバッグ	0	4	動作を調べ不具合を特定する作業	F07:5
データ	0	70	処理で受け渡す値や記録	F07:68
データグラム	0	5	UDPで送受信する通信単位	F07:73
データベース	0	1	記録を保存し検索する仕組み	F07:28
トップページ	0	1	最初に表示する画面	F18:42
ドラッグ	0	29	押したまま移動する画面操作	F07:150
ネットワーク	0	2	機器間の通信経路	F07:1139
ノイズ	0	3	観測や予測に含まれる不確かさ	F07:1087
バイト	0	2	保存量や通信量を数える単位	F07:518
