その他の全指摘への対応案
調査基準: 697fd5d2986d4c7bb774c096bdc35aa383083978（ローカル作業一覧草案を含む）
C=cspell全件診断、W=許可一覧の長文分割診断。件数は重複する検出を含む。
場所はREADME.mdのF番号と元の行番号。許可候補は未適用。

共通方針：
S01: 脚注の参照IDは構造として維持し、その本文だけを検査する
S02: 依存物の名前とバージョンは維持。機械用の依存一覧を説明文の検査から分離
J02: 語全体を維持する。漢字部分とカタカナ部分を分けて検査し、未許可のカタカナを漢字との混在だけで通さない。
TASK-ID: 履歴の作業IDと依存関係は維持し、必要ならIDの部分だけをコード表記にする。日本語へ改名しない。

分類	語	C	W	対応案または共通方針	代表箇所
A01	Base64	2	0	技術表記を維持し、意味付きの許可候補とする。Baseという断片は登録しない	F11:66
A01	Unix 時刻	2	2	技術表記を維持し、意味付きの許可候補とする。Baseという断片は登録しない	F07:209
D02	appsettings.json	1	0	実際の設定ファイル名 appsettings.json を維持し、ファイル名だけをコード表記にする。	F18:110
D02	false	1	1	ソースに存在する識別子や真偽値と照合し、その部分だけをコード表記にする	F18:246
D02	rawPayloadRestored	2	1	ソースに存在する識別子や真偽値と照合し、その部分だけをコード表記にする	F18:246
D02	trackedFrame	4	2	ソースに存在する識別子や真偽値と照合し、その部分だけをコード表記にする	F09:39
D02	TRACKER-000	3	0	TASK-ID	F09:1
D02	TRACKER-001	3	0	TASK-ID	F09:12
D02	TRACKER-002	2	0	TASK-ID	F09:13
D02	TRACKER-003	3	0	TASK-ID	F09:14
D02	TRACKER-004	3	0	TASK-ID	F09:15
D02	TRACKER-005	2	0	TASK-ID	F09:16
D02	TRACKER-006	4	0	TASK-ID	F09:17
D02	TRACKER-007	4	0	TASK-ID	F09:18
D02	TRACKER-008	2	0	TASK-ID	F09:19
D02	TRACKER-009	3	0	TASK-ID	F09:20
D02	TRACKER-010	2	0	TASK-ID	F09:21
D02	TRACKER-011	2	0	TASK-ID	F09:22
D02	TRACKER-012	4	0	TASK-ID	F09:23
D02	TRACKER-013	3	0	TASK-ID	F09:24
D02	TRACKER-014	2	0	TASK-ID	F09:25
D02	TRACKER-015	2	0	TASK-ID	F09:26
D02	TRACKER-016	2	0	TASK-ID	F09:27
D02	TRACKER-017	2	0	TASK-ID	F09:28
D02	TRACKER-018	2	0	TASK-ID	F09:29
D02	TRACKER-019	2	0	TASK-ID	F09:30
D02	TRACKER-020	2	0	TASK-ID	F09:31
D02	TRACKER-021	2	0	TASK-ID	F09:32
D02	TRACKER-022	2	0	TASK-ID	F09:33
D02	TRACKER-023	2	0	TASK-ID	F09:34
D02	TRACKER-024	2	0	TASK-ID	F09:35
D02	TRACKER-025	2	0	TASK-ID	F09:36
D02	TRACKER-026	2	0	TASK-ID	F09:37
D02	TRACKER-027	2	0	TASK-ID	F09:38
D02	TRACKER-028	2	0	TASK-ID	F09:39
D02	TRACKER-029	2	0	TASK-ID	F09:40
D02	TRACKER-030	2	0	TASK-ID	F09:41
D02	TRACKER-031	2	0	TASK-ID	F09:42
D02	TRACKER-032	3	0	TASK-ID	F09:43
D02	TRACKER-033	3	0	TASK-ID	F09:44
D02	TRACKER-034	3	0	TASK-ID	F09:45
D02	TRACKER-035	2	0	TASK-ID	F09:46
